set_label,set_number,set_stage,set_mutator,set_name_ingame,patch,champion_api_name,champion_name,cost,role,traits,ability_name,mana_cost,initial_mana,ability_desc_resolved,ability_desc_raw,variable_count
Set 1,1,base,1,Base,9.21,Camille,Camille,1,,Hextech|Blademaster,The Hextech Ultimatum,125,75,"Camille singles out and leaps on an enemy, dealing @ModifiedDamage@ magic damage and rooting them for 4/5/6 seconds.Allies within range will prioritize attacking Camille's target.","Camille singles out and leaps on an enemy, dealing @ModifiedDamage@ magic damage and rooting them for @Duration@ seconds.<br><br>Allies within range will prioritize attacking Camille's target.",2
Set 1,1,base,1,Base,9.21,Darius,Darius,1,,Imperial|Knight,Decimate,100,0,"Darius swings his axe in a circle, dealing @ModifiedDamage@ magic damage and healing himself for @ModifiedHeal@ health for each enemy hit.","Darius swings his axe in a circle, dealing @ModifiedDamage@ magic damage and healing himself for @ModifiedHeal@ health for each enemy hit.",3
Set 1,1,base,1,Base,9.21,Elise,Elise,1,,Demon|Shapeshifter,Spider Form,100,0,"Elise transforms into a giant spider and summons 1/2/4 spiderlings to fight alongside her.While in spider form, Elise gains @LifestealPercent@ bonus lifesteal. Spiderlings benefit from active Demon trait bonuses.","Elise transforms into a giant spider and summons @NumSpiderlings@ spiderlings to fight alongside her.<br><br>While in spider form, Elise gains @LifestealPercent@ bonus lifesteal. Spiderlings benefit from active Demon trait bonuses.",3
Set 1,1,base,1,Base,9.21,Fiora,Fiora,1,,Noble|Blademaster,Riposte,75,0,"Fiora enters a defensive stance for 1.5 seconds, becoming immune to damage and enemy spell effects. As she exits this stance, she ripostes, dealing @ModifiedDamage@ magic damage to a nearby enemy and stunning them for 1.5 seconds.","Fiora enters a defensive stance for @BlockDuration@ seconds, becoming immune to damage and enemy spell effects. As she exits this stance, she ripostes, dealing @ModifiedDamage@ magic damage to a nearby enemy and stunning them for @StunDuration@ seconds.",3
Set 1,1,base,1,Base,9.21,Garen,Garen,1,,Noble|Knight,Judgement,100,0,"Garen spins his sword for 4 seconds, becoming immune to magic damage and dealing @ModifiedDamage@ magic damage to nearby enemies over the duration.","Garen spins his sword for @SpinDuration@ seconds, becoming immune to magic damage and dealing @ModifiedDamage@ magic damage to nearby enemies over the duration.",3
Set 1,1,base,1,Base,9.21,Graves,Graves,1,,Pirate|Gunslinger,Buckshot,0,0,Passive: Graves' basic attacks deal 5% (scaleAD) bonus physical damage and hit all enemies in a cone in front of him. Graves applies on-hit effects to all enemies hit.,Passive: Graves' basic attacks deal 5% %i:scaleAD% bonus physical damage and hit all enemies in a cone in front of him. Graves applies on-hit effects to all enemies hit.,1
Set 1,1,base,1,Base,9.21,Kassadin,Kassadin,1,,Void|Sorcerer,Nether Blade,0,0,Passive: Kassadin's basic attacks steal 25/50/75 mana from his target and grant him a @ModifiedShield@ damage shield for 4 seconds.,Passive: Kassadin's basic attacks steal @ManaSteal@ mana from his target and grant him a @ModifiedShield@ damage shield for @ShieldDuration@ seconds.,2
Set 1,1,base,1,Base,9.21,Kha'Zix,Kha'Zix,1,,Void|Assassin,Taste their Fear,65,0,"Kha'Zix slashes the nearest enemy, dealing @ModifiedDamage@ magic damage. If the enemy has no adjacent teammates, this damage is increased to @ModifiedIsolationDamage@.","Kha'Zix slashes the nearest enemy, dealing @ModifiedDamage@ magic damage. If the enemy has no adjacent teammates, this damage is increased to @ModifiedIsolationDamage@.",2
Set 1,1,base,1,Base,9.21,Mordekaiser,Mordekaiser,1,,Phantom|Knight,Obliterate,150,50,"Mordekaiser slams his mace on the two spaces in front of him, dealing @ModifiedDamage@ magic damage to enemies within.","Mordekaiser slams his mace on the two spaces in front of him, dealing @ModifiedDamage@ magic damage to enemies within.",4
Set 1,1,base,1,Base,9.21,Nidalee,Nidalee,1,,Wild|Shapeshifter,Primal Surge,85,0,"Nidalee heals herself and an ally, restoring @ModifiedHeal@ health over 6 seconds, then transforms into cat form.While in cat form, Nidalee's range is reduced to 1 hex and she gains 20/70/120 Bonus Attack Damage.","Nidalee heals herself and an ally, restoring @ModifiedHeal@ health over @HoTDuration@ seconds, then transforms into cat form.<br><br>While in cat form, Nidalee's range is reduced to 1 hex and she gains @ADinCougar@ Bonus Attack Damage.",5
