name,rarity,cost,effect,mechanism
Joker,Common,2,+4 Mult,스탯
Greedy Joker,Common,5,Played Diamond cards give +3 Mult when scored,조건부스탯
Lusty Joker,Common,5,Played Heart cards give +3 Mult when scored,조건부스탯
Wrathful Joker,Common,5,Played Spade cards give +3 Mult when scored,조건부스탯
Gluttonous Joker,Common,5,Played Club cards give +3 Mult when scored,조건부스탯
Jolly Joker,Common,3,+8 Mult if played hand contains a Pair,조건부스탯
Zany Joker,Common,4,+12 Mult if played hand contains Three of a Kind,조건부스탯
Mad Joker,Common,4,+10 Mult if played hand contains Two Pair,조건부스탯
Crazy Joker,Common,4,+12 Mult if played hand contains a Straight,조건부스탯
Droll Joker,Common,4,+10 Mult if played hand contains a Flush,조건부스탯
Sly Joker,Common,3,+50 Chips if played hand contains a Pair,조건부스탯
Wily Joker,Common,4,+100 Chips if played hand contains Three of a Kind,조건부스탯
Clever Joker,Common,4,+80 Chips if played hand contains Two Pair,조건부스탯
Devious Joker,Common,4,+100 Chips if played hand contains a Straight,조건부스탯
Crafty Joker,Common,4,+80 Chips if played hand contains a Flush,조건부스탯
Half Joker,Common,5,+20 Mult if played hand contains 3 or fewer cards,조건부스탯
Joker Stencil,Uncommon,8,X1 Mult for each empty Joker slot (including itself),슬롯참조
Four Fingers,Uncommon,7,Flushes and Straights can be made with 4 cards,규칙변경
Mime,Uncommon,5,Retrigger all cards held in hand abilities,리트리거
Credit Card,Common,1,Go up to -$20 in debt,골드
Ceremonial Dagger,Uncommon,6,When Blind selected destroy Joker to right and add double its sell value to this Mult,성장
Banner,Common,5,+30 Chips for each remaining discard,자원참조
Mystic Summit,Common,5,+15 Mult when 0 discards remaining,자원참조
Marble Joker,Uncommon,6,Adds one Stone card to deck when Blind is selected,생성
Loyalty Card,Uncommon,5,X4 Mult every 6 hands played,주기발동
8 Ball,Common,5,1 in 4 chance for each played 8 to create a Tarot card when scored,생성
Misprint,Common,4,+0-23 Mult,확률
Dusk,Uncommon,5,Retrigger all played cards in final hand of round,리트리거
Raised Fist,Common,5,Adds double the rank of lowest ranked card held in hand to Mult,조건부스탯
Chaos the Clown,Common,4,1 free Reroll per shop,상점
Fibonacci,Uncommon,8,Each played Ace 2 3 5 or 8 gives +8 Mult when scored,조건부스탯
Steel Joker,Uncommon,7,Gives X0.2 Mult for each Steel Card in full deck,보유참조
Scary Face,Common,4,Played face cards give +30 Chips when scored,조건부스탯
Abstract Joker,Common,4,+3 Mult for each Joker card,보유참조
Delayed Gratification,Common,4,Earn $2 per discard if no discards used by end of round,골드
Hack,Uncommon,6,Retrigger each played 2 3 4 or 5,리트리거
