base_id,shape,tag_scope,tag,base_option_id,element_roll,name_key
BASE_AXE,axe,job,warrior,,FALSE,BASE_AXE
BASE_SWORD,sword,job,swordmaster,,FALSE,BASE_SWORD
BASE_BOW,bow,job,archer,,FALSE,BASE_BOW
BASE_DAGGER,dagger,job,assassin,,FALSE,BASE_DAGGER
BASE_ORB,orb,job,mage,,TRUE,BASE_ORB
BASE_CHALICE,chalice,job,priest,,FALSE,BASE_CHALICE
BASE_CROWN,crown,job,leader,,FALSE,BASE_CROWN
BASE_BANNER,banner,race,human,,FALSE,BASE_BANNER
BASE_SIGIL,sigil,race,darkelf,,FALSE,BASE_SIGIL
BASE_SKULL,skull,race,undead,,FALSE,BASE_SKULL
BASE_TOTEM,totem,race,beastman,,FALSE,BASE_TOTEM
BASE_HORN,horn,race,demon,,FALSE,BASE_HORN
