name_ko,grade,attack_type,skill_or_role,source,confidence
사하긴 워리어 니모,B,,물고기덱 핵심 / 라꽈와 함께 쓰면 단독 대비 크게 강해짐,namuwiki+nowordeath,medium
라꽈,,,니모를 강화하는 버퍼 / 혼합 용병들과 함께 편성,nowordeath+junklab,medium
페퍼,B,,연타덱 입문용 리더 / E급 연타템 전용효과가 좋음 / 묘족덱 구성,namuwiki,medium
블피,S,마법,소울번 보유,namuwiki,medium
전투다람쥐 아딜리야,X,,별칭 '다람쥐',namuwiki,medium
쯔바이,X,물리,소울번 보유,namuwiki,medium
헬싱,X,마법,소울번 보유,namuwiki,medium
징크스,X,,'힐' 사용 가능 (드문 케이스),namuwiki,medium
뉴젤다,X,카오스,'힐' 사용 가능,namuwiki,medium
뉴 이졸데,X,,'집중공격' 보유,namuwiki,medium
객갱,,,,namuwiki,low
떡봇,,,,namuwiki,low
티어달리스,,,,namuwiki,low
오키,,,,namuwiki,low
RBD-719,,,,namuwiki,low
자룰,,,,namuwiki,low
이그레,,,,namuwiki,low
아이,,,,namuwiki,low
크시론,,,,namuwiki,low
베인,,,,namuwiki+appstore,low
부커,,,,namuwiki,low
보나파르트,,,,namuwiki,low
알더탈론,,,,namuwiki,low
가이낙스,,,,namuwiki,low
펑구스,,,,namuwiki,low
바타타,,,,namuwiki,low
베멜도그,,,,namuwiki,low
베멜루스,,,,namuwiki,low
베멜로스,,,,namuwiki+appstore,low
베멜리나,,,,namuwiki,low
포크룸,,,,namuwiki+qooapp,low
파이썬,,,,namuwiki,low
조드,,,,namuwiki,low
드라코,,,,namuwiki,low
가루가,,,,namuwiki,low
아스카,,,,namuwiki,low
폰,,,,namuwiki,low
마발,,,,namuwiki,low
미티어,,,,namuwiki,low
혼다,,,,hyeny1004,low
알렉산드라,X,,개발일지에서 신규 X급으로 소개됨(본문 미확인),search-snippet,low
라이샌더,,,,appstore,low
크사르팍스,,,,appstore,low
마줄리스,,,,appstore,low
크세르크스,,,,appstore,low
크라티아스,,,,appstore,low
소울테이커,,,,appstore,low
에밀리,,,,appstore,low
페가시,,,,appstore,low
몬몬,,,,appstore,low
로빈,,,,appstore,low
이모텝,,,,appstore,low
보프니걸,,,,appstore,low
로보,,,,appstore,low
라라엘,,,,appstore+qooapp,low
노스페라투쓰,,,,appstore,low
사우스페라투쓰,,,,appstore,low
젠,,,,appstore,low
에반,,,,appstore,low
엑시,,,,appstore,low
헬가,,,,appstore,low
글렌,,,,appstore,low
안드레,,,,appstore,low
트위기,,,,appstore,low
플레이드,,,,appstore,low
야뷰키,,,,appstore+qooapp,low
루돌프,,,,appstore,low
칼라마르,,,,appstore,low
맥코이,,,,appstore,low
츠요나시,,,,appstore,low
우라칸,,,,appstore,low
우르간,,,,appstore,low
쟝 피엘,,,,appstore,low
안텔로페,,,,qooapp,low
닉스,,,,qooapp,low
미미,,,,qooapp,low
레슈카,,,,qooapp,low
폭스트롯,,,,qooapp,low
툴팁미씽,,,,qooapp,low
케신저,,,,qooapp,low
로이스,,,,qooapp,low
아니데우스,,,,qooapp,low
프리츠,,,,qooapp,low
타케리리,,,,qooapp,low
